jawaban_mahasiswa,id_jawaban_dosen,human_rater,human_rater_scaled
client server server host menjadi tempat menyimpan data informasi dituju diakses client jaringan client host menjadi alat untuk mengakses meminta data informasi dikirim server client berfungsi untuk mengirimkan data informasi simpan server,1,100,1
dimaksud client server jaringan komputer perangkat berfungsi bertugas untuk meminta data perangkat berfungsi bertugas untuk memberikan data atas permintaan diminta perangkat client perangkat bertugas untuk meminta data server perangkat bertugas untuk memberikan data permintaan diajukan client client meminta data client server dikenal download upload download terjadi client meminta data server upload client memberikan data server,1,100,1
client end device dimana berupa peminta data subjek membutuhkan layanan data client memberikan sinyal server untuk meminta data diinginkan server end device berfungsi penyedia data untuk client client membutuhkan client menerima file diinginkan client memberikan acknowledgement server untuk memberitahukan file sukses dikirimkan,1,100,1
jaringan client server salah arsitektur jaringan komputer mempunyai fungsi untuk membuat perangkat client melakukan proses meminta data perangkat client berupa perangkat komputer aplikasi software terinstal guna untuk meminta menerima data jaringan salah satu contoh aplikasi software digunakan untuk meminta menerima data jaringan web browser dimana user melakukan request untuk halaman web aplikasi web browser persis lakukan perangkat dikategorikan client perangkat mobile smartphone tablet,1,100,1
client server jaringan komputer jaringan memiliki host dua level berbeda client host server host client host melakukan request server mengakses mengolah data server melakukan perubahan jaringan server host menyimpan mengolah data device digunakan client jaringan server mengatur data dikirim jaringan,1,90,0.9
client server jaringan menghubungkan jaringan menghubungkan client user server jaringan membuat client meminta data informasi untuk akses permintaan server server mengirimkan data diminta client data diminta tersedia sesuai protocol client menerima data,1,90,0.9
client server jaringan komputer client user pemakai jaringan merequest permintaan server server penyedia informasi data dibutuhkan client,1,90,0.9
client server model jaringan memerlukan server tetap fixed server pusat lintas data jaringan klien bertindak device mengirimkan request server bertindak device membalasnya reply request,1,90,0.9
host berada tingkat bawah hierarki jaringan client memiliki akses terbatas singkatnya meminta baik data akses host disebut server untuk membuka webpage client meminta data server mengirimkan kembali data http client untuk diakses,1,90,0.9
client dikenal host pengguna jaringan computer client computer meminta request data jaringan server computer membalas reply request computer client jaringan computer client server hubungan komunikasi dua computer dimana client computer meminta data data dibutuhkan dikirimkan media jaringan dicari sever sumber data data diminta client server mengirimkan data diminta si client data diminta client server memberitahukan client data dikirimkan,1,90,0.9
client server interaksi jaringan dimana client user mengirim permintaan data server client server memngirimkan pelayanan data client sesuai permintaan client server berdiri tugasnya memberikan pelayanan client clientnya,1,90,0.9
jaringan computer dikenal 2 istilah client server istilah client server disinggung dns domain name system client server client host sifatnya berhubungan pengguna server domain hostname sifatnya penyimpan hostname ip address dimaksud server hostname dikenali ip address dimaksud misalnya client megakses website scele ui ac id alamat scele berperan host ip nya tersimpan server pengguna mengakses scele menghafal ip address scele dibutuhkan mengingat mengakses website huruf mudah diingat ole user ip web pengguna user menjadi mudah,1,90,0.9
client pihak memerlukan mengakses sumber daya web page file dll server perangkat menyediakan sumber daya layanan dibutuhkan client,1,90,0.9
server device bertindak database file diupload tersimpan server client mendownload men download data nya server contoh server website berisi file file website tsb tampilannya data data download dll berkontribusi meng upload data mengubah website tersimpan server website tsb membuka website tsb mendapat mendownload tampilan websitenya server,1,80,0.8
client host memungkinkan untuk melakukan request server host memiliki software mengenai informasi dibutuhkan client client server protocol dimana mengatur transfer file client server client mengirimkan request server server mengirimkan balasan berupa informasi diminta client,1,80,0.8
client perangkat mengakses meminta layanan informasi jaringan ditampilkan user server perangkat berguna untuk menyediakan layanan informasi diminta client server sumber data informasi diakses client,1,80,0.8
client server salah satu model jaringan dimana device bertindak client device bertindak server device bertindak client berfungsi untuk mengirimkan request server mengakses mengolah data dimiliki server device bertindak server berfungsi untuk mengirimkan balasan request dikirimkan client menyimpan data data berhak diakses client,1,80,0.8
client server fungsi perangkat menjadi client menjadi server artinya hak untuk menjadi client server dimiliki menguntungkan device menjadi client server jumlah file data luas mudah memperoleh data contoh client server jaringan komputer peer to peer,1,80,0.8
client komputer me request data informasi jaringan komputer tampilan client menggunakan gui server komputer berfungsi untuk me reply permintaan data software server berbeda client tampilan server menggunakan command line,1,80,0.8
client perangkat jaringan komputer meminta paket data server server penyedia layanan server terdapat data data diakses client,1,80,0.8
client server metode jaringan dimana server bertindak admin supply data client bertindak demant data misalnya client meminta izin untuk mengambil data server server supplier data berhak untuk mengizinkan client mengambil data,1,80,0.8
client pihak meminta data jaringan server pihak melayani penyimpanan data berada disana contohnya membuka website komputer client mengirimkan pesan server meminta data website ditampilkan tampilan gambar tulisan dll website server mengirimkan data syarat koneksinya terjalin baik ack,1,80,0.8
jaringan komputer client bertindak peminta pengguna layanan server penyedia layanan dilakukan dua mesin berbeda terjadi mesin,1,80,0.8
client server metode pentransferan konten dimana pembagian konten haya terfokus end device server server membagikan kontennya client meminta konten client meminta memperoleh server banyaknya client mempengaruhi kecepatan transfer konten,1,70,0.7
client hardware penerima server hardware menyediakan informasi fungsi fungsi diakses client,1,70,0.7
client server relasi terjalin jaringan client server terjadi server server berupa web file mail server client server dikenal user perangkat komputer smartphone user meminta akses untuk menjalin koneksi meminta mengirim data server,1,70,0.7
client server model jaringan komputer dimana server penyedia resource client sisi melakukan request resource dimiliki server,1,70,0.7
client merequest data dimana server penyedia data tempat data tersimpan untuk client server sistem relasi pengguna client penyedia data server,1,70,0.7
client server host me request data host berfungsi server jaringan client mengirmkan ip address server tujuan ip masuk kedalam dns server berfungsi memeriksa alamat ip dikirimkan olek client terdaftar jaringan,1,60,0.6
clien server pihak pihak bertindak server client bersifat client meminta layanan ketka bertindak server tugasnya untuk melayani memberikan diperintahkan client jadi keterkaitan fungsinya,1,60,0.6
client server computer maksudnya dasar sumber melakukan pengiriman data terjadi proses awalnya client me request server client mendapatkan respon feedback jawaban request dikirimkan server,1,60,0.6
client server jaringan computer host berfungsi menyediakan layanan service jaringan memberikan request berhubungan jaringan,1,60,0.6
client host memberi request server jaringan computer server host menerima request menjawab request client,1,60,0.6
client server salah satu metode berkomunikasi jaringan memanfaatkan device satu pemilik sumber daya device konsumen sumber daya,1,60,0.6
client server jaringan metode menghubungkan langsung client servernya network client meminta data langsung servernya,1,60,0.6
client perangkat menerima informasi menjalankan aplikasi server pusat pengendali data aplikasi keamanan,1,60,0.6
client server jaringan komputer dua entitas mengirimkan menerima menyediakan data jaringan,1,60,0.6
client server model aplikasi terdistribusi membagi tugas penyedia layanan meminta layanan,1,60,0.6
komunikasi client server jaringan komputer komunikasi dua arah dimana client berperan peminta informasi server penyedia informasi,1,60,0.6
pengguna penyedia internet,1,50,0.5
client server jaringan komunikasi client server komputer client menyediakan informasi software dibutuhkan client nya komputer client mempunyai akses untuk mengambil informasi tersedia komputer server,1,40,0.4
client server jaringan 2 buah cliet 1 server satu jaringan,1,40,0.4
client server pengguna jaringan membutuhkan menginginkan informasi client server meminta informasi server,1,40,0.4
client server penyedia layanan jaringan network pengguna client,1,40,0.4
proses hibernate pc termasuk cara untuk shutdown proses hibernate data pc menyala ram disimpan storage rom komputer posisi hibernate power benar benar kondisi off perlu men transfer daya ram pc dihidupkan proses hibernate os me load data rom ram,2,100,1
dimaksud hibernate komputer proses boot komputer dimana data files simpan secara temporarily hard drive hard disk hard disk power daya komputer dihilangkan dimatikan dicabut user mendapatkan file file nya kembali power dinyalakan berbeda sleep dimana file disimpan ram komputer diatur tingkat daya rendah,2,100,1
dimaksud hibernate pc kondisi dimana file file program berjalan komputer menyala dimatikan file program disimpan hard disk ram komputer berada keadaan mati total keadaan low power state,2,100,1
hibernate pc artinya melakukan penyimpanan kerja memori memori virtual hard disk hibernate komputer berada keadaan shutdown mati komputer dihidupkan kembali data data dikirimkan kembali memori ram untuk diproses kembali,2,100,1
hibernate salah satu pilihan berbagai mode pc mode hibernate sistem menyimpan file software dijalankan hard disk ram data mengenai file software berjalan hilang power supply dimatikan mode hibernate pc dinyalakan pc otomatis me load kembali data mengenai software file dijalankan user langsung melanjutkan pekerjaan dilakukan power supply cabut,2,100,1
hibernate pc proses dimana komputer diletakkan keadaan power mati aplikasi terbuka save diletakkan virtual drive hibernate membuka kembali komputer meneruskan pekerjaan komputer me load kembali terakhir lakukan meng hibernate komputer memiliki keuntungan menghemat power consumption,2,100,1
hibernate pc fungsi menyimpan data program konfigurasi komputer digunakan disimpan hard disk hibernate secara sederhana fungsi mematikan komputer menghilangkan data program kerjakan pekerjaan lanjutkan masa mendatang hibernate prinsipnya sleep berbeda komponen digunakan proses sleep data disimpan ram hibernate data disimpan hard disk proses hibernate data disimpan hard disk data konfigurasi disimpan menjadi aman berubah akibat kehilangan daya listrik kerugian proses hibernate proses booting sleep diakibatkan daya listrik komputer dimatikan proses boot me load data semetara disimpan harddisk ram kembali,2,100,1
hibernate salah satu mode diaktifkan komputer dimana kondisi hibernate data data aktif disimpan hard disk internal untuk daya mengalir komputer dijadikan off hibernate berbeda mode sleep dimana mode sleep data disimpan kedalam rom untuk komputer berada kondisi low power mode,2,100,1
hibernate cara untuk mematikan komputer tetap mempertahankan state kondisi komputer dimatikan sleep standby caranya meng copy data digunakan state kondisi komputer hard disk untuk diakses kali berikutnya komputer dinyalakan berbeda sleep standby komputer hibernate membutuhkan listrik baterai power outlet untuk mempertahankan state komputer standby file state disimpan ram komputer kehilangan listrik data state tersimpan ram hilang ram volatile memory komputer dinyalakan berikutnya cold boot user memulai awal untuk mendapatkan state,2,100,1
hibernate pc salah satu cara mematikan shut down komputer kondisi power hardware dimatikan data tersimpan hard disk menyalakan kembali perlu melakukan cold boot meneruskan data tersimpan harddisk,2,100,1
2 hibernate proses untuk mematikan penggunaan daya komputer secara langsung kondisinya memory diprocess ram dipindahkan langsung harddisk penggunaan hibernate menggunakan memakan alokasi memory hard disk lumayan besar keuntungan hibernate menjaga keutuhan file berbeda sleep file nya tersimpan ram daya masuk data hilang mengefisienkan kinerja komputer dinyalakan data kerja harddisk langsung dikembalikan ram menghemat waktu shutdown untuk mematikan komputer,2,100,1
hibernate proses untuk membuat pc keadaan shut down kembali dihidupkan melanjutkan sesi dikerjakan pc keadaannya mirip sleep untuk rentang waktu mengeluarkan energi kondisi sleep untuk kondisi low powered kondisi hibernate menutup aplikasi apapun kerjakan,2,90,0.9
hibernate perangkat komputer laptop pc fitur sistem operasi os berfungsi untuk melakukan penyimpanan data hard disk pc melakukan penghematan listrik mematikan cara kerja stand by mode menjalankan hibernate pc dalm keadaan mati mati total,2,90,0.9
hibernate kondisi mirip sleep komputer menyala energi perbedaannya hibernate memindahkan data ram menyimpannya rom hard disk hilang dinyalakan kembali proses menghidupkan kembali kondisi hibernate dibandingkan sleep,2,90,0.9
hibernate pc proses untuk mematikan komputer komputer benar benar keadaan mati artinya ram komputer tetap menyala data ram transfer hard disk data ram hilang,2,80,0.8
sistem windows memilih menu shutdown pilihan untuk mematikan komputer shutdown salah satunya hibernate hibernate kondisi dimana komputer masuk status bekerja aktif menyimpan program ram hard disk terhubung sumber daya baterai steker dimaksudkan pengguna menyalakan kembali windows langsung bekerja melanjutkan pekerjaan,2,80,0.8
hibernate keadaan dimana komputer menyimpan dokumen program terbuka mematikan power komputer sepenuhnya hibernate berbeda shutdown shutdown komputer dihidupkan kembali komputer memulai keadaan awal komputer hibernate komputer dihidupkan kembali komputer menyala keadaan menghibernate komputer maksudnya program data terbuka komputer hibernate tetap menyala tertutup,2,80,0.8
hibernate cara mematikan komputer user kehilangan data close tersimpan memakan penggunaan listrik baterai keadaan hibernate mati dinyalakan kembali komputer menampilkan layar desktop hibernate,2,80,0.8
hibernate cara mematikan komputer untuk jangka waktu panjang data aktif simpan memori power cpu mati komputer dinyalakan data muncul kembali digunakan hibernate terjadi supply energy listrik tiba tiba terhenti secara umum fungsi hibernate fungsi sleep hibernate mematikan power aktivitas komputer,2,80,0.8
hibernate kondisi dimana pc digunakan aplikasi tetap berjalan hibernate data disimpan aliran listrik pc dihentikan data langsung terhapus sistem,2,80,0.8
hibernate keadaan state komputer dimana data data program diaplikasikan disimpan harddisk disk drive komputer menggunakan energi power rendah keadaan hibernate keadaan hibernate komputer siap untuk shutdown dimatikan proses penyimpanan data,2,80,0.8
hibernate proses mematikan komputer power supply keadaan mati data data kerjakan otomatis tersimpan beda halnya sleep sleep data data berjalan secara otomatis tersimpan power supply digunakan keadaan hidup,2,80,0.8
hibernate pc proses dimana pc olah dimatikan secara total terus berjalan diistirahatkan dilakukan untuk melakukan warm booting user perlu menunggu mengaktifkan komputer kembali proses aplikasi buka tertutup menggunakannya kembali aplikasi langsung muncul,2,80,0.8
hibernate artinya meng off mematikan komputer program aplikasinya data hilang tertutup user menghidupkan kembali komputer user membuka kembali program aplikasi dijalankan menghidupkan kembali komputer,2,80,0.8
hibernate mematikan komputer secara total tetap menyimpan aplikasi gunakan perbedaannya sleep sleep membutuhkan konsumsi data hibernate untuk menyalakannya kembali perlukan waktu perbedaannya shut down shutdown komputer mati secara total menyalakannya kembali menjadi aplikasi tertutup hibernate program buka tertutup,2,80,0.8
hibernate mirip kondisi sleep kondisis sleep data disimpan ram kondisi hibernate data disimpa drive,2,80,0.8
menyimpan kondisi komputer rom mematikan daya dihidupkan kembali melanjutkan kondisi disimpan,2,80,0.8
hibernate salah satu kondisi dimana pc dimatikan waktu sleep bedanya hibernate menggunakan energi dibandingkan sleep data disimpan random access memory dipindahkan read only memory hard disk dinyalakan kembali data hilang,2,80,0.8
hibernate pc proses komputer memungkinkan komputer untuk menyala bekerja energi rendah menutup close aplikasi dijalankan hibernate dilaksanakan,2,79,0.79
hibernate pc proses komputer untuk mencapai low power state keadaan hibernate pc benar benar mati total dinyalakan kembali prosesnya memakan waktu dimulai awal kembali kondisi komputer berada no power state proses hibernate pc program berjalan pc hilang pc dinyalakan kembali pc langsung menampilkan program program berjalan,2,70,0.7
